timestampSinceStart (ms),cpu (%), mem (%) 
4205,0,57
6557,25,57
8908,25,57
11260,0,57
13615,0,57
15965,0,57
18317,25,57
20669,25,57
23020,0,57
25371,25,57
27721,0,57
30073,0,57
32426,25,57
34779,0,57
37129,0,57
39480,25,57
41832,50,57
44184,0,57
46535,0,57
48886,0,57
51238,0,57
53590,0,57
55942,0,57
58295,25,57
60646,0,57
62998,0,57
65349,0,57
67702,0,57
70053,25,57
72406,25,57
74757,0,57
77109,0,57
79461,25,57
81813,25,57
84165,0,57
86517,25,57
88868,25,57
91221,0,57
93574,25,57
95925,0,57
98277,0,57
100628,25,57
102979,50,57
105331,0,57
107683,0,57
110035,0,57
112386,0,57
114739,0,57
117095,0,57
119451,0,57
121803,0,57
124153,0,57
126505,0,57
128857,25,57
131208,25,57
133562,0,57
135914,0,57
138267,0,57
140619,0,57
142970,0,57
145322,0,57
147675,0,57
150026,0,57
152378,0,57
154730,0,57
157081,0,57
159433,0,57
161784,0,57
164135,25,57
166486,0,57
168838,0,57
171190,0,57
173542,0,57
175894,0,57
178246,0,57
180598,0,57
182949,0,57
185301,25,57
187652,50,57
190003,0,57
192355,0,57
194706,0,57
197058,0,57
199409,0,57
201761,25,57
204113,0,57
206466,0,57
208817,0,57
211169,0,57
213523,25,57
215876,0,57
218227,25,57
220579,0,57
222931,0,57
225293,0,57
227645,0,57
229997,25,57
232348,25,57
234700,50,57
237051,0,57
239402,0,57
241754,0,57
244105,0,57
246458,0,57
248810,0,57
251161,0,57
253530,0,57
255882,0,57
258234,0,57
260585,25,57
262937,25,57
265289,25,57
267644,0,57
269996,50,57
272347,0,57
274699,0,57
277050,0,57
279402,0,57
281755,0,57
284106,0,57
286459,0,57
288809,0,57
291160,50,57
293513,0,57
295864,50,57
298216,0,57
300566,0,57
302917,0,57
305269,0,57
307620,25,57
309971,33,57
312322,0,57
314673,0,57
317025,25,57
319377,0,57
321728,50,57
324080,0,57
326433,0,57
328784,50,57
331135,50,57
333487,0,57
335837,0,57
338189,25,57
340541,25,57
342892,25,57
345244,25,57
347596,0,57
349948,25,57
352299,33,57
354650,0,57
357001,0,57
359353,0,57
361705,0,57
364056,25,57
366407,25,57
368761,0,57
371113,0,57
373475,0,57
375825,0,57
378177,0,57
380529,25,57
382880,0,57
385231,25,57
387583,0,57
