Time (ms),Time (s),Machine1,Machine2
224622,0.0,4500,250
225622,1.0,4750,500
226623,2.0,4500,1000
227623,3.0,4750,1250
228625,4.0,4750,1500
229625,5.0,4500,2000
230625,6.0,4750,2250
231626,7.0,4500,2500
232626,8.0,4750,2750
233628,9.0,4750,3000
234628,10.0,4500,3500
235629,11.0,4750,3500
236630,12.0,4500,4000
237630,13.0,4750,4000
238632,14.0,4500,4500
239632,15.0,4750,4500
240634,16.0,4750,4750
241634,17.0,4500,4750
242635,18.0,4500,4500
243637,19.0,4250,4500
244637,20.0,4250,4250
245638,21.0,4000,4250
246638,22.0,4000,4000
247639,23.0,3750,4000
248640,24.0,3750,3750
249641,25.0,3500,3750
250641,26.0,3500,3750
251642,27.0,3500,3500
252643,28.0,3250,3500
253644,29.0,3250,3250
254645,30.0,3000,3250
255645,31.0,3000,3000
256646,32.0,2750,3000
257647,33.0,2750,2750
258647,34.0,2750,2750
259648,35.0,2500,2750
260649,36.0,2500,2500
261649,37.0,2250,2500
262650,38.0,2250,2250
263651,39.0,2000,2250
264652,40.0,2000,2000
265652,41.0,1750,2000
266653,42.0,1750,1750
267653,43.0,1500,1750
268653,44.0,1500,1750
269655,45.0,1500,1500
270656,46.0,1250,1500
271656,47.0,1250,1250
272656,48.0,1000,1250
273658,49.0,1000,1000
274658,50.0,750,1000
275659,51.0,750,750
276659,52.0,500,750
277660,53.0,500,750
278661,54.0,500,500
279662,55.0,250,500
280662,56.0,250,250
281663,57.0,0,250
282663,58.0,0,0
283663,59.0,0,250
284665,60.0,500,250
285665,61.0,750,0
286666,62.0,1000,250
287666,63.0,1250,0
288667,64.0,1500,250
289669,65.0,2000,0
290670,66.0,2000,250
291670,67.0,2500,0
292671,68.0,2500,250
293671,69.0,3000,250
294672,70.1,3250,0
295673,71.1,3500,250
296673,72.1,3750,0
297674,73.1,4000,250
298675,74.1,4250,0
299676,75.1,4500,250
300676,76.1,4750,250
301677,77.1,4500,750
302677,78.1,4750,1000
303679,79.1,4500,1250
304679,80.1,4750,1500
305680,81.1,4500,1750
306680,82.1,4750,2000
307680,83.1,4500,2250
308682,84.1,4750,2500
309683,85.1,4750,3000
310684,86.1,4500,3250
311685,87.1,4750,3500
312686,88.1,4500,3750
313686,89.1,4750,4000
314687,90.1,4500,4500
315688,91.1,4750,4500
316688,92.1,4500,4750
317689,93.1,4750,4500
318689,94.1,4750,4750
319693,95.1,4500,4500
320693,96.1,4750,4500
321694,97.1,4500,4500
322694,98.1,4750,4500
323697,99.1,4500,4500
324697,100.1,4750,4500
325698,101.1,4750,4750
326699,102.1,4500,4500
327699,103.1,4750,4500
328701,104.1,4500,4500
329701,105.1,4750,4500
330702,106.1,4500,4500
331702,107.1,4750,4500
332703,108.1,4500,4750
333705,109.1,4750,4500
334705,110.1,4500,4750
335706,111.1,4750,4500
336706,112.1,4750,4750
337708,113.1,4500,4500
338708,114.1,4750,4500
339710,115.1,4500,4500
340710,116.1,4750,4500
341711,117.1,4500,4500
342711,118.1,4750,4750
343713,119.1,4500,4750
344714,120.1,4750,4500
345714,121.1,4750,4750
346715,122.1,4500,4500
347716,123.1,4500,4500
348717,124.1,4250,4250
349718,125.1,4250,4250
350718,126.1,4000,4250
351719,127.1,4000,4000
352720,128.1,3750,4000
353722,129.1,3750,3750
354722,130.1,3750,3750
355723,131.1,3500,3500
356723,132.1,3500,3500
357724,133.1,3250,3250
358726,134.1,3250,3250
359726,135.1,3000,3000
360727,136.1,3000,3000
361727,137.1,3000,3000
362728,138.1,2750,2750
363728,139.1,2750,2750
364730,140.1,2500,2500
365730,141.1,2500,2500
366731,142.1,2250,2250
367731,143.1,2250,2250
368733,144.1,2000,2000
369733,145.1,2000,2000
370734,146.1,1750,2000
371734,147.1,1750,1750
372734,148.1,1750,1750
373736,149.1,1500,1500
374736,150.1,1500,1500
375737,151.1,1250,1250
376738,152.1,1250,1250
377738,153.1,1000,1000
378739,154.1,1000,1000
379740,155.1,750,750
380740,156.1,750,750
381741,157.1,750,750
382741,158.1,500,500
383742,159.1,500,500
384743,160.1,250,250
385743,161.1,250,250
386744,162.1,0,0
387744,163.1,0,0
