timeSinceStart (ms), eventId, msg
104548,1,52.27.91.29 i-d638dd0f
105049,3,InputImage/7835_49(copy).png 250 i-d638dd0f
105549,3,InputImage/5128_67.png 250 i-d638dd0f
106050,3,InputImage/7088_54(copy).png 250 i-d638dd0f
106550,3,InputImage/5406_65.png 250 i-d638dd0f
107051,3,InputImage/7469_52.png 250 i-d638dd0f
107552,3,InputImage/6884_55.png 250 i-d638dd0f
108052,3,InputImage/5786_62.png 250 i-d638dd0f
108553,3,InputImage/6884_55(copy).png 250 i-d638dd0f
109053,3,InputImage/5128_67(copy).png 250 i-d638dd0f
109554,3,InputImage/5984_59(copy).png 250 i-d638dd0f
110054,3,InputImage/3073_80.png 250 i-d638dd0f
110551,4,InputImage/7835_49(copy).png i-d638dd0f
110555,3,InputImage/2730_82.png 250 i-d638dd0f
111055,3,InputImage/5889_60(copy).png 250 i-d638dd0f
111555,3,InputImage/2710_83.png 250 i-d638dd0f
112056,3,InputImage/3342_78.png 250 i-d638dd0f
112552,4,InputImage/5128_67.png i-d638dd0f
112556,3,InputImage/5516_63.png 250 i-d638dd0f
113057,3,InputImage/8538_48.png 250 i-d638dd0f
113557,3,InputImage/5853_61(copy).png 250 i-d638dd0f
114058,3,InputImage/4424_73.png 250 i-d638dd0f
114554,4,InputImage/7088_54(copy).png i-d638dd0f
114558,3,InputImage/7111_53(copy).png 250 i-d638dd0f
115058,3,InputImage/7810_50(copy).png 250 i-d638dd0f
115559,3,InputImage/6329_57(copy).png 250 i-d638dd0f
116059,0,leasing new machine
117557,4,InputImage/5406_65.png i-d638dd0f
119558,4,InputImage/7469_52.png i-d638dd0f
121559,4,InputImage/6884_55.png i-d638dd0f
124562,4,InputImage/5786_62.png i-d638dd0f
126562,4,InputImage/6884_55(copy).png i-d638dd0f
128564,4,InputImage/5128_67(copy).png i-d638dd0f
131566,4,InputImage/5984_59(copy).png i-d638dd0f
133567,4,InputImage/3073_80.png i-d638dd0f
135568,4,InputImage/2730_82.png i-d638dd0f
137569,4,InputImage/5889_60(copy).png i-d638dd0f
140572,4,InputImage/2710_83.png i-d638dd0f
142573,4,InputImage/3342_78.png i-d638dd0f
144574,4,InputImage/5516_63.png i-d638dd0f
147575,4,InputImage/8538_48.png i-d638dd0f
149577,4,InputImage/5853_61(copy).png i-d638dd0f
152578,4,InputImage/4424_73.png i-d638dd0f
