timestampSinceStart (ms),cpu (%), mem (%) 
4206,0,48
6557,0,48
8907,0,48
11258,25,48
13613,0,48
15964,0,48
18315,0,48
20667,25,48
23018,0,47
25369,25,47
27721,0,47
30070,0,47
32420,0,47
34773,0,47
37125,0,47
39476,0,47
41828,0,47
44179,0,47
46531,25,47
48882,25,47
51234,0,47
53585,0,47
55936,0,47
58287,0,47
60638,0,47
62989,0,47
65341,0,47
67692,0,47
70043,0,47
72394,25,47
74744,0,47
77095,0,47
79445,0,47
81795,0,47
84147,25,47
86498,0,47
88849,0,47
91199,0,47
93550,0,47
95901,0,47
98253,0,47
100605,0,47
102956,0,47
105307,0,47
107659,25,47
110011,0,47
112362,0,47
114713,0,47
117075,0,47
119427,0,47
121778,25,47
124130,50,47
126483,0,47
128833,0,47
131183,0,47
133535,25,47
135886,25,47
138237,0,47
140589,0,47
142941,0,47
145291,0,47
147641,25,47
149992,0,48
152343,25,48
154693,0,48
157049,0,48
159399,0,48
161751,25,48
164103,25,48
166453,0,48
168804,0,48
171155,0,48
173506,0,48
175858,0,48
178208,0,48
180559,0,48
182911,0,48
185262,25,48
187613,25,48
189963,0,48
192315,50,48
194665,0,48
197016,0,48
199366,0,48
201717,0,48
204068,0,48
206419,0,48
208770,0,48
211122,50,48
213478,25,48
215828,0,48
218179,0,48
220530,0,48
222883,0,48
225235,0,48
227586,25,48
229937,0,48
232288,0,48
234639,25,48
236990,50,48
239341,25,48
241693,0,48
244043,25,48
246395,25,48
248746,25,48
251096,0,48
253447,0,48
255798,0,48
258150,33,48
260501,25,48
262852,0,48
265203,0,48
267553,0,48
269903,0,48
272253,0,48
274604,0,48
276964,0,48
279317,0,48
281668,0,48
284020,0,48
286372,0,48
288725,0,48
291076,0,48
293428,0,48
295781,0,48
298132,0,48
300483,0,48
302835,25,48
305186,25,48
307536,0,48
309887,0,48
312239,0,48
314591,25,48
316941,25,48
319292,0,48
321645,0,48
323997,0,48
326349,0,48
328700,0,48
331050,25,48
333402,25,48
335753,0,48
338104,0,48
340455,25,48
342806,25,48
345160,0,48
347511,0,48
349861,50,48
352213,0,48
354564,0,48
356914,25,48
359265,0,48
361615,0,48
363965,0,48
366316,0,48
368668,0,48
371022,0,48
373372,0,48
375723,0,48
378075,50,48
380426,50,48
382777,0,48
385129,0,48
387480,0,48
389831,0,48
392182,0,48
394534,50,48
396886,0,48
399237,25,48
401590,0,48
403941,25,48
406292,0,48
408643,0,48
410995,0,48
413345,25,48
415697,0,48
418049,0,48
420400,0,48
422752,0,48
425104,0,48
427455,0,48
429806,25,48
432157,25,48
434508,0,48
436859,0,48
439210,25,48
441562,25,48
443913,0,48
446264,0,48
448615,0,48
450967,0,48
453320,0,48
455670,25,48
458022,25,48
460373,0,48
462725,0,48
465076,0,48
467428,0,48
469779,0,48
472130,25,48
474482,25,48
476832,0,48
479183,0,48
481535,0,48
483886,50,48
486237,0,48
488588,0,48
490940,0,48
493292,0,48
495643,0,48
497994,25,48
500346,50,48
502697,25,48
505048,0,48
507399,0,48
509748,0,48
512099,0,48
514450,50,48
516802,0,48
519154,25,48
521505,0,48
523857,0,48
526208,0,48
528559,0,48
530913,0,48
533263,0,48
535614,0,48
537965,25,48
540317,0,48
542668,0,48
545019,0,48
547370,50,48
549720,25,48
552071,0,48
554422,50,48
556772,25,48
559122,25,48
561474,0,48
563826,50,48
566176,0,48
568526,0,48
570878,0,48
573228,0,48
575579,25,48
577931,0,48
580282,25,48
582634,25,48
584987,0,48
587338,0,48
589688,0,48
592039,0,48
594391,0,48
596742,50,48
599092,0,48
