timestamp,totalNumberOfJobs,memCapacity0,numberOfJobs0,setOfJobs0,expectedLoad0,IsRunning0,cpuUsage0,memCapacity1,numberOfJobs1,setOfJobs1,expectedLoad1,IsRunning1,cpuUsage1,memCapacity2,numberOfJobs2,setOfJobs2,expectedLoad2,IsRunning2,cpuUsage2,memCapacity3,numberOfJobs3,setOfJobs3,expectedLoad3,IsRunning3,cpuUsage3
1498,20,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
2498,30,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
3498,39,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
4498,49,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
5499,59,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
6499,69,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
7499,79,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
8499,89,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
9500,99,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
10500,109,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
11500,119,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
12500,129,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
13502,139,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
14502,149,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
15502,159,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
16503,169,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
17503,179,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
18504,189,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
19504,199,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
20505,200,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
21505,200,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
22505,200,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
23506,200,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
24507,200,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
25507,200,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
26507,200,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
27507,200,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
28509,200,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
29509,200,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
30510,200,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
31510,200,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
32510,200,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
33512,200,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
34512,200,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
35512,200,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
36512,200,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
37513,200,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
38514,200,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
39514,200,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
40514,200,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
41514,200,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
42515,200,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
43516,200,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
44516,200,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
45517,200,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
46517,200,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
47517,200,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
48519,200,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
49519,200,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
50519,200,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
51519,200,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
52520,200,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
53521,200,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100,100,0,[],0,FALSE,100
