timeSinceStart (ms), eventId, msg
110551,1,52.27.154.155 i-f20eeb2b
111051,3,InputImage/9967_47.png 250 i-f20eeb2b
111552,3,InputImage/7614_51.png 250 i-f20eeb2b
112052,3,InputImage/7088_54(copy).png 250 i-f20eeb2b
112553,3,InputImage/6811_56(copy).png 250 i-f20eeb2b
113054,3,InputImage/10538_46.png 250 i-f20eeb2b
113554,3,InputImage/7111_53.png 250 i-f20eeb2b
114055,3,InputImage/5984_59.png 250 i-f20eeb2b
114555,3,InputImage/5889_60.png 250 i-f20eeb2b
115056,3,InputImage/3073_80.png 250 i-f20eeb2b
115553,4,InputImage/9967_47.png i-f20eeb2b
115556,3,InputImage/5082_68.png 250 i-f20eeb2b
116056,3,InputImage/9967_47(copy).png 250 i-f20eeb2b
116557,3,InputImage/6029_58.png 250 i-f20eeb2b
117057,3,InputImage/5516_63(copy).png 250 i-f20eeb2b
117554,4,InputImage/7614_51.png i-f20eeb2b
117558,3,InputImage/5511_64(copy).png 250 i-f20eeb2b
118058,3,InputImage/5511_64.png 250 i-f20eeb2b
118559,3,InputImage/5786_62.png 250 i-f20eeb2b
119061,3,InputImage/1881_85.png 250 i-f20eeb2b
119561,3,InputImage/5328_66(copy).png 250 i-f20eeb2b
120061,3,InputImage/7835_49.png 250 i-f20eeb2b
120557,4,InputImage/7088_54(copy).png i-f20eeb2b
120562,3,InputImage/7835_49(copy).png 250 i-f20eeb2b
121062,3,InputImage/6329_57.png 250 i-f20eeb2b
121563,3,InputImage/5984_59(copy).png 250 i-f20eeb2b
122063,0,leasing new machine
122558,4,InputImage/6811_56(copy).png i-f20eeb2b
124560,4,InputImage/10538_46.png i-f20eeb2b
126560,4,InputImage/7111_53.png i-f20eeb2b
129563,4,InputImage/5984_59.png i-f20eeb2b
131565,4,InputImage/5889_60.png i-f20eeb2b
134567,4,InputImage/3073_80.png i-f20eeb2b
136568,4,InputImage/5082_68.png i-f20eeb2b
138570,4,InputImage/9967_47(copy).png i-f20eeb2b
141571,4,InputImage/6029_58.png i-f20eeb2b
143573,4,InputImage/5516_63(copy).png i-f20eeb2b
145573,4,InputImage/5511_64(copy).png i-f20eeb2b
148576,4,InputImage/5511_64.png i-f20eeb2b
150577,4,InputImage/5786_62.png i-f20eeb2b
152577,4,InputImage/1881_85.png i-f20eeb2b
155580,4,InputImage/5328_66(copy).png i-f20eeb2b
157580,4,InputImage/7835_49.png i-f20eeb2b
159582,4,InputImage/7835_49(copy).png i-f20eeb2b
162583,4,InputImage/6329_57.png i-f20eeb2b
164585,4,InputImage/5984_59(copy).png i-f20eeb2b
165142,3,InputImage/4318_74.png 250 i-f20eeb2b
165642,3,InputImage/3977_76.png 250 i-f20eeb2b
166143,3,InputImage/8538_48.png 250 i-f20eeb2b
166643,3,InputImage/5786_62(copy).png 250 i-f20eeb2b
167144,3,InputImage/4481_72.png 250 i-f20eeb2b
167586,4,InputImage/4318_74.png i-f20eeb2b
167644,3,InputImage/7614_51(copy).png 250 i-f20eeb2b
168144,3,InputImage/6329_57(copy).png 250 i-f20eeb2b
168645,3,InputImage/6884_55.png 250 i-f20eeb2b
169145,3,InputImage/2710_83.png 250 i-f20eeb2b
169588,4,InputImage/3977_76.png i-f20eeb2b
169646,3,InputImage/3328_79.png 250 i-f20eeb2b
170146,3,InputImage/2433_84.png 250 i-f20eeb2b
170646,3,InputImage/3967_77.png 250 i-f20eeb2b
171147,3,InputImage/4731_70.png 250 i-f20eeb2b
171588,4,InputImage/8538_48.png i-f20eeb2b
171647,3,InputImage/4424_73.png 250 i-f20eeb2b
172147,3,InputImage/4027_75.png 250 i-f20eeb2b
172648,3,InputImage/6884_55(copy).png 250 i-f20eeb2b
173148,3,InputImage/7088_54.png 250 i-f20eeb2b
173590,4,InputImage/5786_62(copy).png i-f20eeb2b
173649,3,InputImage/7469_52(copy).png 250 i-f20eeb2b
174149,3,InputImage/2730_82.png 250 i-f20eeb2b
174649,3,InputImage/15150_45(copy).jpg 250 i-f20eeb2b
175150,3,InputImage/6029_58(copy).png 250 i-f20eeb2b
175651,3,InputImage/4828_69.png 250 i-f20eeb2b
176151,3,InputImage/5406_65.png 250 i-f20eeb2b
176592,4,InputImage/4481_72.png i-f20eeb2b
176651,3,InputImage/7469_52.png 250 i-f20eeb2b
178593,4,InputImage/7614_51(copy).png i-f20eeb2b
179094,3,InputImage/7810_50(copy).png 250 i-f20eeb2b
180594,4,InputImage/6329_57(copy).png i-f20eeb2b
181095,3,InputImage/5889_60(copy).png 250 i-f20eeb2b
183598,4,InputImage/6884_55.png i-f20eeb2b
184098,3,InputImage/7810_50.png 250 i-f20eeb2b
185601,4,InputImage/2710_83.png i-f20eeb2b
186102,3,InputImage/4671_71.png 250 i-f20eeb2b
187602,4,InputImage/3328_79.png i-f20eeb2b
188103,3,InputImage/5128_67.png 250 i-f20eeb2b
190603,4,InputImage/2433_84.png i-f20eeb2b
191104,3,InputImage/2853_81.png 250 i-f20eeb2b
192604,4,InputImage/3967_77.png i-f20eeb2b
193106,3,InputImage/5406_65(copy).png 250 i-f20eeb2b
194607,4,InputImage/4731_70.png i-f20eeb2b
195107,3,InputImage/5328_66.png 250 i-f20eeb2b
197608,4,InputImage/4424_73.png i-f20eeb2b
198109,3,InputImage/7111_53(copy).png 250 i-f20eeb2b
199609,4,InputImage/4027_75.png i-f20eeb2b
200110,3,InputImage/15150_45.jpg 250 i-f20eeb2b
201610,4,InputImage/6884_55(copy).png i-f20eeb2b
202111,3,InputImage/5128_67(copy).png 250 i-f20eeb2b
204612,4,InputImage/7088_54.png i-f20eeb2b
205113,3,InputImage/10538_46(copy).png 250 i-f20eeb2b
206613,4,InputImage/7469_52(copy).png i-f20eeb2b
207114,3,InputImage/5516_63.png 250 i-f20eeb2b
208615,4,InputImage/2730_82.png i-f20eeb2b
209116,3,InputImage/5853_61(copy).png 250 i-f20eeb2b
211616,4,InputImage/15150_45(copy).jpg i-f20eeb2b
212117,3,InputImage/5853_61.png 250 i-f20eeb2b
213618,4,InputImage/6029_58(copy).png i-f20eeb2b
214119,3,InputImage/3342_78.png 250 i-f20eeb2b
215619,4,InputImage/4828_69.png i-f20eeb2b
216120,3,InputImage/6811_56.png 250 i-f20eeb2b
218622,4,InputImage/5406_65.png i-f20eeb2b
