timestampSinceStart (ms),cpu (%), mem (%) 
4203,0,48
6555,25,48
8907,25,48
11259,25,48
13611,25,48
15961,0,48
18310,25,48
20661,0,48
23011,0,48
25362,0,48
27712,0,48
30064,0,48
32414,25,48
34765,25,48
37115,0,48
39466,50,48
41817,0,48
44169,0,48
46520,0,48
48871,0,48
51223,25,48
53574,25,48
55926,0,48
58279,0,48
60631,0,48
62983,25,48
65335,0,48
67686,50,48
70036,0,48
72386,0,48
74736,0,48
77086,0,48
79437,50,48
81788,0,48
84138,0,48
86489,0,48
88842,0,48
91193,25,48
93544,0,48
95894,25,48
98244,0,48
100595,0,48
102962,16,48
105314,50,48
107665,0,48
110015,0,48
112365,0,48
114716,0,48
117069,0,48
119421,0,48
121773,0,48
124123,0,48
126474,25,48
128825,0,48
131176,0,48
133527,0,48
135878,0,48
138227,0,48
140578,25,48
142929,0,48
145281,0,48
147631,25,48
149982,25,48
152332,0,48
154684,0,48
157035,0,48
159385,0,48
161737,0,48
164087,0,48
166437,0,48
168787,0,48
171138,0,48
173489,0,48
175840,0,48
178191,0,48
180543,0,48
182894,25,48
185243,0,48
187594,25,48
189945,0,48
192296,0,48
194646,0,48
196997,0,48
199348,0,48
201699,0,48
204050,0,48
206400,0,48
208751,0,48
211102,0,48
213452,0,48
215804,0,48
218155,0,48
220508,0,48
222861,0,48
225211,0,48
227562,25,48
229914,0,48
232265,0,48
234616,0,48
236967,0,48
239318,25,48
241669,25,48
244019,0,48
246371,25,48
248722,25,48
251074,0,48
253425,25,48
255776,0,48
258127,0,48
260478,25,48
262829,0,48
265180,0,48
267531,0,48
269884,25,48
272236,0,48
274587,0,48
276938,25,48
279288,0,48
281640,0,48
283991,0,48
286342,25,48
288693,0,48
291043,0,48
293395,25,48
295746,50,48
298098,25,48
300449,25,48
302799,0,48
305150,0,48
307500,25,48
309853,0,48
312204,0,48
314555,0,48
316906,0,48
319259,25,48
321610,25,48
323962,25,48
326313,0,48
328663,0,48
331014,25,48
333366,0,48
335718,0,48
338067,0,48
340418,25,48
342771,25,48
345122,0,48
347474,25,48
349824,0,48
352176,0,48
354527,0,48
356878,25,48
359228,0,48
361580,0,48
363934,25,48
366284,0,48
368635,25,48
370987,0,48
373338,25,48
375689,25,48
378039,0,48
380389,25,48
382740,0,48
385090,0,48
387441,25,48
389792,0,48
392145,0,48
394495,0,48
396846,25,48
399195,0,48
401548,0,48
403898,0,48
406250,25,48
408601,25,48
410953,0,48
413304,0,48
415656,0,48
418007,25,48
420359,0,48
422709,0,48
425060,0,48
427410,0,48
429764,0,48
432114,25,48
434464,0,48
436815,25,48
439167,25,48
441518,50,48
443869,0,48
446219,0,48
448572,25,48
450923,0,48
453274,25,48
455625,0,48
457975,0,48
460326,25,48
462677,25,48
465028,0,48
467380,0,48
469730,0,48
472081,25,48
474433,0,48
476786,0,48
479137,25,48
481487,0,48
483838,25,48
486189,25,48
488539,0,48
490890,0,48
493241,25,49
495592,0,49
497943,0,49
500293,0,49
502643,0,49
504996,0,49
507346,0,49
509697,25,49
512047,0,49
514397,25,49
516748,0,49
519098,25,49
521451,50,49
523802,25,49
526151,0,49
528502,25,49
530854,25,49
533207,50,49
535557,0,49
537907,0,49
540258,25,49
542608,25,49
544960,0,49
547311,25,49
549660,0,49
552011,0,49
554363,0,49
556715,0,49
559066,50,49
561419,25,49
563771,0,49
566123,25,49
568475,25,49
570827,50,49
573179,0,49
575530,50,49
577880,0,49
580232,0,49
582585,0,49
584935,0,49
587287,25,49
589639,25,49
591991,25,49
594343,0,49
596694,25,49
599044,25,49
601395,0,49
603745,0,49
606095,0,49
608447,0,49
610797,0,49
613149,0,49
615500,0,49
617853,0,49
620204,0,49
622555,0,49
624905,25,49
627256,0,49
629606,0,49
631957,25,49
634308,0,49
636658,0,49
639009,0,49
641361,0,49
643711,0,49
646064,25,49
648416,0,49
650768,0,49
653120,0,49
655480,0,49
657831,0,49
660182,25,49
662533,0,49
664885,0,49
667235,0,49
669587,25,49
671938,25,49
674291,25,49
676643,25,49
678994,0,49
681344,0,49
