timestampSinceStart (ms),cpu (%), mem (%) 
4211,0,48
6563,25,48
8915,50,48
11266,25,48
13616,0,48
15967,0,48
18319,0,48
20670,25,48
23027,41,48
25379,25,48
27729,25,48
30080,0,48
32433,0,48
34784,0,48
37135,0,48
39486,25,48
41836,0,48
44187,0,48
46538,50,48
48889,0,48
51240,0,48
53590,50,48
55941,25,48
58293,0,48
60643,0,48
62994,0,48
65346,25,48
67697,0,48
70047,0,48
72398,25,48
74748,0,48
77099,0,48
79451,25,48
81803,0,48
84154,50,48
86504,0,48
88854,25,48
91206,0,48
93556,0,48
95907,0,48
98258,0,48
100609,0,48
102960,0,48
105312,0,48
107661,25,48
110012,0,48
112362,0,48
114714,0,48
117065,0,48
119417,0,48
121768,0,48
124120,0,48
126471,0,48
128823,0,48
131175,25,48
133525,25,48
135875,0,48
138227,25,48
140581,0,48
142931,0,48
145282,25,48
147634,0,48
149987,0,48
152337,0,48
154687,0,48
157038,0,48
159389,25,48
161739,0,48
164090,50,48
166440,0,48
168793,0,48
171144,0,48
173495,0,48
175845,0,48
178196,0,48
180546,25,48
182897,0,48
185248,0,48
187599,25,48
189949,0,48
192301,0,49
194652,0,49
197002,0,49
199356,0,49
201708,0,49
204059,0,49
206411,0,49
208763,0,49
211115,0,49
213467,25,49
215820,0,49
218171,0,49
220523,0,49
222875,25,49
225227,0,49
227577,0,49
229928,0,49
232279,25,49
234631,25,49
236982,25,49
239336,25,49
241686,25,49
244038,0,49
246389,25,49
248739,0,49
251089,25,49
253441,0,49
255791,0,49
258142,16,49
260494,25,49
262845,25,49
265197,0,49
267547,0,49
269901,0,49
272252,0,49
274603,0,49
276954,0,49
279305,0,49
281655,0,49
284006,0,49
286356,0,49
288707,0,49
291058,50,49
293411,25,49
295762,25,49
298115,25,49
300467,0,49
302818,50,49
305169,0,49
307519,0,49
309871,0,49
312222,0,49
314573,0,49
316924,0,49
319275,0,49
321627,0,49
323979,0,49
326331,25,49
328684,0,49
331036,0,49
333386,0,49
335736,0,49
338087,0,49
340438,0,49
342788,25,49
345140,0,49
347490,0,49
349840,0,49
352192,0,49
354545,0,49
356895,0,49
359246,0,49
361596,0,49
363947,0,49
366299,50,49
368650,25,49
371000,25,49
373351,0,49
375702,25,49
378052,0,49
380404,0,49
382753,25,49
385106,0,49
387456,25,49
389809,0,49
392160,0,49
394510,0,49
396861,0,49
399211,25,49
401561,0,49
403910,25,49
406261,25,49
408612,0,49
410964,0,49
413315,0,49
415668,25,49
418019,0,49
420371,25,49
422722,50,49
425073,25,49
427425,0,49
429776,0,49
432126,58,49
434478,25,49
436828,0,49
439179,25,49
441531,25,49
443882,25,49
446233,25,49
448586,25,49
450936,0,49
453287,0,49
455639,25,49
457989,0,49
460340,0,49
462691,0,49
465042,0,49
467393,50,49
469744,0,49
472094,0,49
474446,25,49
476795,0,49
479148,25,49
481499,0,49
483850,50,49
486201,0,49
488551,0,49
490902,0,49
493252,0,49
495603,0,49
497955,25,49
500319,0,49
502670,25,49
505021,0,49
507373,0,49
509724,0,49
512075,0,49
514426,50,49
516776,25,49
519126,25,49
521478,50,49
523830,25,49
526181,0,49
528531,0,49
530882,25,49
533233,25,49
535584,0,49
537934,0,49
540284,0,49
542637,0,49
544988,0,49
547339,25,49
549689,0,49
552038,0,49
554391,0,49
556742,0,49
559095,0,49
561447,25,49
563798,25,49
566150,50,49
568501,0,49
570852,0,49
573203,0,49
575562,0,49
577912,0,49
580263,0,49
582615,0,49
584966,25,49
587319,0,49
589670,25,49
592021,0,49
594371,25,49
596722,0,49
599071,0,49
601423,0,49
603774,0,49
606125,0,49
608476,0,49
610828,0,49
613179,25,49
615529,25,49
617880,0,49
620231,0,49
622581,50,49
624934,0,49
627285,25,49
629636,0,49
631986,0,49
634338,25,49
636690,0,49
639040,0,49
641392,0,49
643741,25,49
646092,0,49
648443,25,49
650796,0,49
653146,25,49
655498,0,49
657847,0,49
660199,0,49
662555,0,49
664906,0,49
667256,0,49
669607,0,49
671957,25,49
674308,0,49
676658,0,49
679010,0,49
681371,0,49
683722,25,49
686072,0,49
688422,0,49
690773,0,49
693124,0,49
695475,0,49
697826,25,49
700177,25,49
702528,0,49
704879,0,49
707228,25,49
709580,0,49
711930,0,49
714282,50,49
716634,0,49
718987,25,49
721338,25,49
723689,0,49
726040,0,49
728391,0,49
730742,25,49
733093,25,49
735445,0,49
737795,0,49
740148,0,49
742499,25,49
744850,50,49
747201,0,49
749552,0,49
751903,0,49
754256,0,49
756607,25,49
758958,0,49
761309,25,49
763662,50,49
766013,0,49
768363,0,49
770715,0,49
773065,25,49
775416,0,49
777766,0,49
780117,0,49
782468,0,49
784819,0,49
787170,0,49
789519,0,49
791869,0,49
794220,0,49
796570,25,49
798920,0,49
801282,25,49
803633,0,49
805983,0,49
808333,25,49
810684,0,49
813035,0,49
815386,25,49
817737,25,49
820090,0,49
822443,25,49
824795,0,49
827146,25,49
829496,0,49
831847,0,49
834198,0,49
836549,0,49
838900,0,49
841251,0,49
843602,50,49
845953,25,49
848303,0,49
850654,50,49
853005,0,49
855355,0,49
857705,0,49
860057,0,49
862408,0,49
864759,0,49
867110,50,49
869461,0,49
871812,0,49
874164,0,49
876515,25,49
878865,25,49
881218,25,49
883568,0,49
885919,0,49
888269,25,49
890619,0,49
892970,25,49
895321,25,49
897670,25,49
900022,0,49
902373,0,49
904724,0,49
907075,0,49
909426,25,49
911779,25,49
914131,25,49
916482,58,49
918831,0,49
921183,25,49
923534,25,49
925884,25,49
928235,0,49
930586,0,49
932937,0,49
935288,0,49
937639,25,49
939989,0,49
942342,0,49
944693,25,49
947043,0,49
949394,0,49
951744,0,49
954095,0,49
956446,0,49
958797,25,49
961147,0,49
963497,25,50
965849,0,50
968199,0,50
970549,50,50
972899,0,50
975250,25,50
977599,0,50
979952,25,50
982304,0,50
984655,0,50
987006,0,50
989366,50,50
991716,0,50
994068,0,50
996419,0,50
998770,25,50
1001120,0,50
1003472,0,50
1005824,0,50
1008175,25,50
1010526,50,50
1012877,0,50
1015228,0,50
1017579,0,50
1019930,25,50
1022283,0,50
1024634,0,50
1026986,50,50
1029337,25,50
1031687,0,50
1034039,25,50
1036390,0,50
1038740,0,50
1041092,0,50
1043443,0,50
1045794,25,50
1048144,0,50
1050494,25,50
1052846,25,50
1055196,0,50
1057548,0,50
1059898,25,50
1062248,0,50
1064598,25,50
