timestampSinceStart (ms),cpu (%), mem (%) 
4212,0,49
6565,0,49
8916,0,49
11269,0,49
13620,0,49
15972,0,49
18322,0,49
20673,50,49
23025,0,49
25375,0,49
27726,25,49
30076,0,49
32437,0,49
34787,0,49
37139,0,49
39490,25,49
41842,25,49
44194,25,49
46545,0,49
48896,0,49
51247,0,49
53598,0,49
55950,0,49
58301,25,49
60651,0,49
63002,0,49
65353,0,49
67704,0,49
70056,0,49
72407,0,49
74759,0,49
77110,0,49
79462,25,49
81813,25,49
84165,0,49
86518,0,49
88870,25,49
91222,0,49
93572,25,49
95924,0,49
98274,25,49
100625,50,49
102976,0,49
105327,0,49
107679,25,49
110031,25,49
112383,0,49
114733,0,49
117084,0,49
119435,16,49
121786,25,49
124136,0,49
126486,0,49
128844,25,49
131196,0,49
133548,0,49
135899,0,49
138249,0,49
140601,0,49
142952,0,49
145302,0,49
147654,0,49
150005,0,49
152357,0,49
154708,0,49
157061,0,49
159412,0,49
161763,0,49
164113,0,49
166464,0,49
168815,0,49
171166,25,49
173517,0,49
175868,0,49
178220,0,49
180572,0,49
182924,0,49
185279,0,49
187630,0,49
189980,0,49
192332,0,49
194682,0,49
197035,25,49
199387,0,49
201739,25,49
204089,0,49
206442,25,49
208793,0,49
211145,0,49
213496,0,49
215879,0,49
218230,25,49
220581,25,49
222932,0,49
225283,0,49
227636,25,49
229986,25,49
232336,0,49
234687,0,49
237039,25,49
239390,25,49
241740,0,49
244090,25,49
246443,0,49
248794,50,49
251144,0,49
253494,0,49
255846,25,49
258197,25,49
260549,0,49
262900,0,49
265251,0,49
267602,0,49
269953,0,49
272304,0,49
274655,0,49
277007,25,49
279357,0,49
281710,58,49
284061,0,49
286413,0,49
288764,0,49
291114,0,49
293465,25,49
295817,0,49
298168,0,49
300518,25,49
302869,25,49
305220,0,49
307573,0,49
309923,0,49
312274,0,49
314625,0,49
316976,0,49
319326,25,49
321679,0,49
324031,0,49
326383,25,49
328733,0,49
331086,0,49
333437,50,49
335794,25,49
338145,25,49
340496,0,49
342847,0,49
345198,25,49
347550,0,49
349902,0,49
352252,0,49
354604,0,49
356955,0,49
359308,25,49
361661,0,49
364011,0,49
366363,0,49
368713,50,49
371066,25,49
373418,50,49
375768,0,49
378119,0,49
380470,25,49
382822,33,49
385172,0,49
387524,0,49
389875,0,49
392227,0,49
394578,0,49
396932,0,49
399283,0,49
