timestamp,totalNumberOfJobs,memCapacity0,numberOfJobs0,setOfJobs0,expectedLoad0,IsRunning0,cpuUsage0,memCapacity1,numberOfJobs1,setOfJobs1,expectedLoad1,IsRunning1,cpuUsage1,memCapacity2,numberOfJobs2,setOfJobs2,expectedLoad2,IsRunning2,cpuUsage2,memCapacity3,numberOfJobs3,setOfJobs3,expectedLoad3,IsRunning3,cpuUsage3
1498,20,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
2498,30,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
3501,40,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
4501,49,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
5501,59,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
6501,69,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
7502,79,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
8503,89,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
9503,99,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
10503,109,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
11504,119,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
12504,129,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
13505,139,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
14505,149,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
15506,159,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
16506,169,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
17506,179,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
18508,189,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
19508,199,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
20508,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
21509,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
22509,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
23510,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
24510,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
25510,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
26511,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
27511,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
28512,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
29512,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
30513,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
31513,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
32513,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
33515,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
34515,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
35515,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
36515,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
37516,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
38517,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
39517,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
40518,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
41518,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
42518,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
43519,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
44520,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
45520,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
46520,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
47520,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
48521,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
49522,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
50522,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
51522,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
52522,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
53524,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
54524,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
55524,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
56524,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
57525,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
58526,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
59526,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
60527,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
61527,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
62527,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
63528,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
64529,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
65529,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
66529,200,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100,100,0,[],0,false,100
